,text,label,row_number
0,"DRM is doubleplus good for business, Congress advised The Budget Office and the case of the disappearing public interest",3,186
1,"Bomb at India Independence Parade Kills 15 (AP) AP - A bomb exploded during an Independence Day parade in India's remote northeast Sunday, killing at least 15 people, including schoolchildren, while a rocket attack during a celebration at a school in the separatist region of Kashmir injured 17, officials said.",0,499
2,Survival of software's fittest Darwin may work in the flat enterprise software market--mergers and acquisitions are expected to increase the clout of leading firms.,3,812
3,Aid agencies rethink strategy A new report urges humanitarian groups to maintain a local presence in disaster-prone areas.,0,1125
4,"Google IPO Auction to End Tonight Google IPO Auction to End Tonight\\Google has requested that the U.S. Securities and Exchange Commission (SEC) declare the Google IPO registration statement effective at 4:00 p.m. Eastern Daylight Time on Tuesday, according to the Google IPO page: www.ipo.google.com. After an IPO registration statement is declared effective, the stock can be ...",3,1438
5,"Microsoft Delays SP2 Auto Update For Enterprises Although Monday was to be the day when Microsoft began pushing Windows XP Service Pack 2 (SP2) to enterprises, it changed its mind at the last minute and delayed the automatic updating for more than a week. ",3,1751
6,Hiking With Dogs Has Health Benefits People who love to hike find taking along a four-legged companion can have physical benefits for both ends of the leash. Studies show people are more successful at losing weight when they do it with a friend. What better friend than a dog to provide company and keep a person on track.,3,2064
7,Knee injury benches Eagles' Kalu for season Philadelphia Eagles defensive end N.D. Kalu will miss the season after tearing the anterior cruciate ligament in his right knee during yesterday's practice.,1,2377
8,"Dope scandal athletes withdraw Greek Olympic 200 metre champion Costas Kenteris, the focus of an Olympic doping scandal, has withdrawn from the Athens Games  quot;out of a sense of responsibility quot;. ",1,2690
9,Compuware asks court to punish IBM Software maker says Big Blue kept hold of key evidence to delay a resolution to a long-running legal spat over copyrighted code.,3,3003
10,Pope's French visit leaves debt France's Catholic Church posts a huge deficit after a weekend visit by the Pope to the southern shrine of Lourdes.,0,3316
11,"Moments of unforgettable Olympics Paul Hamm of the USA celebrates with his coach after scoring a 9.837 in the horizontal bar to claim victory in the men #39;s artistic gymnastics individual competition on August 18, 2004, during the Athens 2004 Summer Olympic Games at the Olympic Sports ...",1,3629
12,UK Police Arrest One Man Under Anti-Terror Laws (Reuters) Reuters - Police arrested a man in central England\on Thursday under anti-terrorism laws.,0,3942
13,"Job cutting worst in 2-1/2 years NEW YORK (CNN/Money) - Employers announced 104,530 job cuts last month, capping the worst three months for cutbacks since early 2002, outplacement firm Challenger, Gray  amp; Christmas Inc.",2,4255
14,"Manning Decent in Debut but Giants Lose (AP) AP - Although the spotlight was on Eli Manning, Jake Delhomme shone the brightest.",1,4568
15,"Virtual veins give nurses a hand \A virtual reality hand, complete with vital veins, that ""feels"" could help trainee nurses practise their jabs.",3,4881
16,Group Finds Ancient Ships Off Italy Coast (AP) AP - Archaeologists exploring the bottom of the sea off the island of Capri have found the wrecks of three ancient ships that once plied the Mediterranean between Rome and northern African colonies.,3,5194
17,"Good-looking, Lightweight  #39;Push-to-Talk #39; Phone for Business Users You #39;ll either love or hate the metallic copper-tone case, but for us it is a welcome break from the generic silver or gray phones that everyone seems to have. (A silver version is also available, for the more timid.) Although by no means ...",3,5507
18,"Crawford leads way to 100 semifinals ATHENS, Greece - United States sprinters Shawn Crawford, Justin Gatlin and Maurice Greene advanced to the semifinals of the men #39;s 100-meter race on Saturday.",1,5820
19,World champion Rossi set to dent Honda morale in Brno BRNO (Czech Republic): World champion Valentino Rossi is 22 points clear in the title race but the Yamaha rider will not be taking it easy at this weekends Czech Grand Prix.,1,6133
20,"Word Champion ATHENS -- With his big, thick right hand, Pete Clentzos slaps his belly. The hand bounces off.",1,6446
21,India News: Truckers #39; strike enters second day (NIGHT LEAD) The finance minister said he suspected a role for transport booking agents in misguiding the truck operators and inciting them to go on strike.,2,6759
22,"The Marathon Man In less than 20 hours, Chile #39;s Nicolas Massu fought his way to gold in men #39;s singles and doubles tennis. Four years ago the 24-year-old Chilean carried his county #39;s flag into the opening ceremonies in Sydney.",1,7072
23,"Transmeta bets on LongRun2 While Intel Corp. and Advanced Micro Devices Inc. continue bringing low-power mobile chips to market, Transmeta Corp. is faced with the possibility of shifting its focus from operations and toward licensing its technologies.",3,7385
24,Wal-Mart Sales Slump Keeps Stocks Muddled Wal-Mart Stores Inc. #39;s disappointing sales forecast sent stocks fluctuating Monday as investors #39; concerns about a slowing economy eclipsed their relief over a drop in oil prices.,2,7698
25,"AOL glitch causes info mix-up Some people who tried to access their personal pages on America Online this weekend found themselves looking at a completely different page instead, the Web giant confirmed on Monday.",3,8011
26,"US softball team enjoys dominant Olympic run When Australia scored a token run in the fifth inning of the gold medal game Monday at the Olympic Softball Stadium, it was the first scored here against the US - in the ninth and final game ",1,8324
27,"Iraq Gives Rebels Hours to Give Up, Battle Rages  NAJAF, Iraq (Reuters) - Iraq warned Shi'ite rebels besieged  in a holy shrine in the city of Najaf to surrender or face an  attack later on Tuesday that would ""wipe them out,"" as  government forces entered the battle zone for the first time.",0,8637
28,"UPDATE 3-Sanderson profit jumps, but shrs fall on costs Poultry producer Sanderson Farms Inc. (SAFM.O: Quote, Profile, Research) said on Tuesday its quarterly profit doubled on strong demand, but warned of lower wholesale ",2,8950
29,"Zimbabwe Opposition to Boycott Elections (AP) AP - Zimbabwe's main opposition Movement for Democratic Change said Wednesday that it would boycott future elections until the government reforms election laws, ends what the movement calls state-sponsored political violence and repeals what it terms repressive media and security laws.",0,9263
30,"Copyright Bill Needs Big Changes Technology companies and public-interest groups want to narrow the scope of the controversial Induce Act to focus on those who engage in 'mass, indiscriminate infringing conduct.' By Katie Dean.",3,9576
31,"Tiny Telescope Detects a Giant Planet (Reuters) Reuters - A tiny telescope has spotted a giant\planet circling a faraway star, using a technique that could\open a new phase of planetary discovery, scientists said on\Tuesday.",3,9889
32,"Practice Makes Credit According to a Washington Post survey, nearly three dozen of the 117 Division I-A universities award academic credit to varsity athletes for participating in intercollegiate sports.",1,10202
33,World #39;s strongest man strikes again Iranians are swelling with pride after weightlifter Hossein Rezazadeh confirmed his status as the world #39;s strongest man at the Athens Olympics.,1,10515
34,"Pinochet loses immunity Chile's Supreme Court strips Augusto Pinochet of immunity, paving the way for a possible trial on human rights abuses.",0,10828
35,"Intel Strikes Up Tri-Band Wireless Technology For Centrino Intel, looking to maintain mind share and market share in the mobile PC space, said Thursday it will begin shipping new, tri-band wireless functionality in its Centrino platform next month and will boost software and security support.",3,11141
36,"Jones, Boxers Get Shots at Gold Medals (AP) AP - ATHENS, Greece  #151; For two weeks in Greece, they were mostly missing in action: Marion Jones and the U.S. boxing team.",1,11454
37,"The Dean Machine Marches On The doctor is out, but his tactics drive campaigns from Florida to Alaska. By Samantha M. Shapiro from Wired magazine.",3,11767
38,"TV: Iraq Group to Free 7 Employees of Kuwait Firm Iraqi kidnappers of seven employees of a Kuwaiti company said in a video statement on Thursday they would release the captives once their employer halted operations in Iraq, Al Arabiya television reported.",0,12080
39,"Allchin explains Longhorn's haircut A clear roadmap for Longhorn was more important than inclusion of an advanced file system, Jim Allchin tells CNET News.com.\",3,12393
40,"AT amp;T Uses Its Long Past to Promote Its Near Future T amp;T may be your grandma #39;s phone company, but it is also trying to be the company of the future with its Internet phones. Even as it is getting out of the business of providing traditional phone ",3,12706
41,Rival to Boeing says A380 orders ahead of schedule LONDON (CBS.MW) -- Airbus on Friday said it received an order from Thai Airways International for six superjumbo A380 planes. Free!,2,13019
42,Bangladeshi leaders under pressure DHAKA: Bangladeshs prime minister and her main rival are under pressure to set aside years of bitter feuding after a grenade attack on an opposition rally killed 20 people and triggered a week of violent protests nationwide.,0,13332
43,"Earnhardt takes Sharpie 500 Dale Earnhardt Jr. broke out of a six-week slump last night with a convincing victory in the Sharpie 500, giving him a weekend sweep at Bristol (Tenn.) Motor Speedway and momentum for the upcoming championship chase.",1,13645
44,"Raikkonen wins Belgian Grand Prix; Schumacher second CBC SPORTS ONLINE - Michael Schumacher wasn #39;t in the winner #39;s circle at Sunday #39;s Belgian Grand Prix, but still managed to make some noise.",1,13958
45,Blue Jays Snap Streak Toronto ends its five-game losing streak with a 6-4 win over the Yankees after a power outage delays the start for an hour Sunday.,1,14271
46,Stocks Seen Sliding as Oil Moves Higher  NEW YORK (Reuters) - U.S. stocks are set to open lower on  Monday with oil prices pushing higher and Wall Street on edge  as the Republican National Convention gets underway in New York  amid heightened security concerns.,2,14584
47,"U.N. Can't Define Libya Weapons Program (AP) AP - The U.N. nuclear watchdog agency failed Monday to make a judgment on the origin of some technology for Libya's weapons program, a finding that diplomats said kept alive concerns of North Korean involvement.",0,14897
48,"For Windows, Opera takes requests In a first, Opera plans to support Microsoft's cell phone operating system, indicating progress for Windows.",3,15210
49,"Opera to launch browser for Windows Mobile Norwegian browser developer Opera Software ASA has developed a product to run on Microsoft Corp. #39;s Windows Mobile operating system, with plans to ship demonstration versions ",3,15523
50,"Apple Expo: Apple intros iMac G5 (MacCentral) MacCentral - Apple's senior vice-president of worldwide marketing, Phil Schiller, took\a cue from his boss, CEO Steve Jobs, as he unveiled one more thing at the\end of his keynote to kick off this week's Apple Expo in Paris: an iMac G5 that includes the entire\system inside a 17- or 20-inch LCD screen. Continuing the all-in-one theme\that started with the original CRT iMac, the G5 edition features a new\industrial design that does away with the hemispherical base of the previous\generation all together. Schiller said that the new iMacs will be available\in mid-September.",3,15836
51,"RAIDERS NOTEBOOK Hambrick, Zellner traded to Arizona Tailback Troy Hambrick once bristled at the prospect of playing behind Emmitt Smith in Dallas, believing the aging Hall of Fame-bound rusher was taking carries that belonged to him.",1,16149
52,"Els Haunted by Major Failures  CRANS-SUR-SIERRE, Switzerland (Reuters) - World number  three Ernie Els says he feels a failure after narrowly missing  out on three of the year's four major championships.",1,16462
53,Pennington Reaches Long-Term Deal with Jets  NEW YORK (Sports Network) - The New York Jets and  quarterback Chad Pennington finally agreed on a long-term  contract extension Wednesday.,1,16775
54,"Nortel to Delay Filing Results Yet Again Nortel Networks Corp. (NT.TO: Quote, Profile, Research) said on Thursday it will again delay filing results, predicting it will not release reports for 2003 and the first half of 2004 until the end of October.",3,17088
55,"Auto Stocks Surge After Weak Sales  DETROIT (Reuters) - General Motors Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=GM.N target=/stocks/quickinfo/fullquote""&gt;GM.N&lt;/A&gt; on Thursday  led a late-day rally in auto stocks, one day after the world's  largest automaker posted dismal U.S. sales results for August  and cut vehicle production.",2,17401
56,"Bloody Shootout Ends Russian School Siege  BESLAN, Russia (Reuters) - Russian troops stormed a school  Friday in a chaotic battle to free hundreds of parents,  teachers and children who had been held hostage for two days by  Chechen separatists.",0,17714
57,Space Station Crew Takes Maintenance Spacewalk A US astronaut and Russian cosmonaut have taken a spacewalk outside the international space station to work on an aging air conditioner and install communications antennas.,3,18027
58,"Solberg quickest at Rally of Japan TOKYO, Japan -- World champion Petter Solberg dominated the second day of the Rally of Japan, winning six of Saturday #39;s nine special stages and opening up a one minute and eight second lead.",1,18340
59,"Wal-Mart Launches Windows Media Song Downloads Wal-Mart Stores Inc. launched an online music store that works with Microsoft Corp. #39;s Windows Media Player, the world #39;s largest retailer said on Thursday.",3,18653
60,To get or not to get Windows XP Service Pack 2? That is the &lt;b&gt;...&lt;/b&gt; The talk in the computer world seems to be whether or not to get Microsoft #39;s Windows XP Service Pack 2. Both sides of the argument offer pros and cons as to whether or not computer users should proceed with this upgrade.,3,18966
61,"Sweep in the Cards: St. Louis wins ninth in a row St. Louis, MO (Sports Network) - Hector Luna tripled and scored the winning run on Reggie Sanders #39; pinch-hit single in the 11th inning, as the St.",1,19279
62,Israel Hints Ousting Arafat Delayed by Gaza Pullout  JERUSALEM (Reuters) - Israel renewed its threat on Monday  to remove Yasser Arafat but hinted it had delayed taking action  against the Palestinian president to avoid complicating a  planned withdrawal from the Gaza Strip.,0,19592
63,Australia accused over  #39;fair trial #39; call Canberra has been accused of playing politics after it called on Washington to ensure the military trials of two Australians are conducted fairly.,0,19905
64,"Viking burial site unearthed in England LONDON - Archaeologists in northwestern England have found a burial site of six Viking men and women, complete with swords, spears, jewelry, fire-making materials and riding equipment, officials said Monday.",3,20218
65,Spammers exploit anti-spam trap Some spammers are getting their messages through using techniques designed to spot and stop them. A survey shows that spammers are the biggest users of a technique designed to find out if e-mail comes from the net address it says it does.,3,20531
66,"NASA Space Shuttles Spared Frances #39; Wrath Discovery, Atlantis and Endeavour -- were not in the NASA Vehicle Assembly Building during the onslaught of Hurricane Frances. The VAB lost about 40,000 ",3,20844
67,Titans Not Worried About Storm in Miami (AP) AP - The Tennessee Titans don't plan to worry about Hurricane Ivan right now. They're too busy preparing to play the Miami Dolphins in a season opener still scheduled for Sunday.,1,21157
68,"AFP Interview: Afghan minister says attacks on NGOs inevitable (AFP) AFP - Attacks on aid organisations in Afghanistan are inevitable, according to a government minister, who said the widespread perception that aid workers were wasting money that should be spent on Afghans was fuelling the violence.",0,21470
69,"Russia Threatens to Strike Terror Bases MOSCOW - A top Russian general on Wednesday warned the military will strike ""terrorist bases in any region of the world,"" while authorities offered a \$10 million reward for information leading to two Chechen rebel leaders blamed for last week's deadly raid on a school.    In a nationally televised meeting, Prosecutor-General Vladimir Ustinov also briefed President Vladimir Putin on the investigation into the taking of more than 1,200 hostages in a school last week in the southern Russian town of Beslan...",0,21783
70,"AdWatch: Kerry Accuses Bush on Iraq Money (AP) AP - Details of new television ad from Democratic presidential candidate John Kerry, that began airing Wednesday.",0,22096
71,"Iginla #39;s two goals pave rout After the United States advanced to the World Cup of Hockey semifinals Tuesday night, some of the players already started talking about facing Finland.",1,22409
72,U.S. Declares Genocide in Sudan's Darfur  WASHINGTON (Reuters) - The United States declared on  Thursday genocide has occurred in Sudan's Darfur region and  blamed the Khartoum government and Arab militias for the crisis  that has driven more than a million people from their homes.,0,22722
73,Real sells 3m tracks at a loss Media software firm RealNetworks says it sold more than three million tracks thanks to an aggressive three-week price promotion in the US.,3,23035
74,Oil Firm After 4 Percent Jump  SINGAPORE (Reuters) - Oil prices held firm on Friday after  leaping almost \$2 a day earlier on news U.S. crude stocks sank  to a five-month low last week and distillate fuels barely grew  ahead of winter.,2,23348
75,"Las Vegas casino offering full season of action NFL fans spending time in Las Vegas always can place a bet on their favourite team for that week #39;s game. Now, the Plaza Hotel is offering something more long-range.",1,23661
76,"Iran absolutely will not engage in nuclear weapons program: EU The European Union welcomes Iran #39;s new offer to suspend sensitive nuclear activities, saying Tehran should be given a few more months to comply before any tougher action, the Netherlands said on Thursday.",0,23974
77,"MLB: Philadelphia 9, New York Mets 5 A two-run homer in the seventh by Jason Michaels put Philadelphia in front Friday night and the Phillies went on to down the New York Mets, 9-5.",1,24287
78,"Federer Advances to U.S. Open Final with Win Over Henman  NEW YORK (Reuters) - Top seed Roger Federer was at his  dismissive best on Saturday as he breezed to a 6-3, 6-4, 6-4  victory over fifth seed Tim Henman to reach the final of the  U.S. Open for the first time.",1,24600
