label,Sample_50,Categories
5,dr. goldberg offers everything i look for in a general pract...,health
2,"Unfortunately, the frustration of being Dr. Goldberg's patie...",health
4,Been going to Dr. Goldberg for over 10 years. I think I was...,health
4,Got a letter in the mail last week that said Dr. Goldberg is...,health
1,I don't know what Dr. Goldberg was like before  moving to Ar...,health
5,Top notch doctor in a top notch practice. Can't say I am sur...,health
5,Dr. Eric Goldberg is a fantastic doctor who has correctly di...,health
1,I'm writing this review to give you a heads up before you se...,health
2,Wing sauce is like water. Pretty much a lot of butter and so...,food
3,Decent range somewhat close to the city.  The mats are prett...,sports & recreation
1,Owning a driving range inside the city limits is like a lice...,sports & recreation
1,This place is absolute garbage...  Half of the tees are not...,sports & recreation
4,I drove by yesterday to get a sneak peak.  It re-opens on Ju...,sports & recreation
2,After waiting for almost 30 minutes to trade in an old phone...,other
5,This place was DELICIOUS!!  My parents saw a recommendation...,food
5,Can't miss stop for the best Fish Sandwich in Pittsburgh....,food
5,This place should have a lot more reviews - but I'm glad it...,food
5,"Old school.....traditional \""mom 'n pop\"" quality and perfec...",food
5,Good fish sandwich....,food
5,"After a morning of Thrift Store hunting, a friend and I were...",food
4,A great townie bar with tasty food and an interesting client...,food
3,Good beer selection. Understaffed for a light Monday night c...,food
2,Very disappointed in the customer service. We ordered Reuben...,food
5,Let there be no question: Alexions owns the best cheeseburge...,food
1,"Used to go there for tires, brakes, etc.  Their prices have...",automotive
1,Terrible. Preordered my tires and when I arrived they couldn...,automotive
1,Last summer I had an appointment to get new tires and had to...,automotive
2,I will start by saying we have a nice new deck. That is wher...,home services
2,Hoofah....,other
4,I heart King's. I've always been a fan and this one was as g...,other
2,Average run of the mill store.  Associates are young teens a...,other
2,"Two meals, on the recommendation of a friend who lives near...",food
4,Rocky's has been in business since the 1980s and still going...,food
3,If you want a true understanding of Pittsburgh in the mornin...,food
5,"Cheap, unpretentious, and, for this, one of my favorite brea...",food
4,I miss this place. When I return home to pittsburgh this is...,food
5,Love this place.  Never had a bad meal.  Good portions and g...,food
3,"OK, what is with all of these \""CASH ONLY\"" places in Pittsb...",food
5,BEST DINER IN THE COUNRTY!!! We've been to many famous diner...,food
4,"Great breakfast, good price. You might have to stand outside...",food
5,I always love a good diner.  Gab and Eat was just what we we...,food
5,I have been coming to Gab n Eat for almost 20 years and They...,food
5,What a find! I stopped in here for breakfast while in town f...,food
5,Great little place. Treats you like a local.Eaten here 3 tim...,food
2,My first time going to Barb's Country Junction and I really...,food
3,My husband and I tried this place for the first time today....,food
5,Tonya is super sweet and the front desk people are very help...,food
1,"If I could give this place less than one star, I would. I ha...",other
4,Best Irish food in the Burgh.  Great bar food too.  The serv...,food
2,"Okay, so hopefully you haven't been enjoying happy hour @ Ri...",other
