,text,label,row_number
0,"En route to a small town that lays way off the beaten track (but which looks suspiciously close to a freeway), a female reporter runs into a strange hitch-hiker who agrees to help direct her to her destination. The strange man then recounts a pair of gruesome tales connected to the area: in the first story, an adulterous couple plot to kill the woman's husband, but eventually suffer a far worse fate themselves when they are attacked by a zombie; and in the second story, a group of campers have their vacation cut short when an undead outlaw takes umbrage at having his grave peed on.<br /><br />The Zombie Chronicles is an attempt by writer Garrett Clancy and director Brad Sykes at making a zombie themed anthologya nice idea, but with only two stories, it falls woefully short. And that's not the only way in which this low budget gore flick fails to deliver: the acting is lousy (with Joe Haggerty, as the tale-telling Ebenezer Jackson, giving one of the strangest performances I have ever seen); the locations are uninspired; the script is dreary; there's a sex scene with zero nudity; and the ending.... well, that beggars belief.<br /><br />To be fair, some of Sykes' creative camera-work is effective (although the gimmicky technique employed as characters run through the woods is a tad overused) and Joe Castro's cheapo gore is enthusiastic: an ear is bitten off, eyeballs are plucked out, a face is removed, brains are squished, and there is a messy decapitation. These positives just about make the film bearable, but be warned, The Zombie Chronicles ain't a stroll in the park, even for seasoned viewers of z-grade trash.<br /><br />I give The Zombie Chronicles 2/10, but generously raise my rating to 3 since I didn't get to view the film with the benefit of 3D (although I have a sneaking suspicion that an extra dimension wouldn't have made that much of a difference).",0,24
1,"An actress making a movie in Africa is kidnapped and taken into the jungle where she is held for ransom. The producer hires some one to go and bring her back. Complicating everything are the cannibals in the jungle who worship a really ugly looking ""god"" who likes to eat naked women.<br /><br />This is a gory sleazy movie. There is copious amounts of nudity and violence, not to mention violence against nude people. Its an exploitation film designed to appeal to the deepest darkest parts of our being, and if the movie wasn't so boring this film would be a classic. Lets face it, despite the gore, the nasty sex and abuse,and the ugly monster this movie is a snoozer. The pacing is all off kilter and it puts you out. There are multiple plot lines that all seem to be happening separately from each other, even though its ultimately all one story. Worst of all, almost no one says anything. Most of the minimal dialog concerns the cruelty or one characters protestations that ""I'll do what I want"". Its such a quiet and dull movie that if it weren't for the frequent screams of the victims I'd recommend this as a sleep aide.<br /><br />This is a movie to avoid unless you need sleep, or unless you need to see every Euro-cannibal movie.<br /><br />(An aside. VideoAsia just released this as part of their Terror Tales series. Their print is oddly letter-boxed which looks to be the result of taking their print from a Japanese source (there is fogging) that was cropped to remove the subtitles. Their print also has no opening titles)",0,89
2,"This was awful. Andie Macdowell is a terrible actress. So wooden she makes a rocking horse look like it could do a better job. But then remember that turn in Four Weddings, equally as excruciating. Another film that portrays England as full of Chocolate box cottages, and village greens. I mean that school, how many schools apart from maybe Hogwarts look like that? The twee police station looked like the set from Heartbeat ( a nauseating British series set in the 60s).This film just couldn't make its mind up what it wanted to be- a comedy or a serious examination of the undercurrents in women's friendships. If it had stuck to the former then the graveyard sex scenes and the highly stupid storming of the wedding might just have worked( i say just). But those scenes just didn't work with the tragedy in the second half. I also find it implausible that Kate would ever speak to Molly again after her terrible behaviour. A final note- what is a decent actress like Staunton doing in this pile of poo? Not to mention Anna Chancellor. Macdowell should stick to advertising wrinkle cream.",0,154
3,"While it's early to say how the series will evolve, I can say that the pilot was less than I thought it would be. There is still potential for the series, however. Of course when I first saw Voyager I thought it had potential, too - but was sorely disappointed. My gut tells me Enterprise won't be as bad as Voyager, however.<br /><br />As for the impressions of the pilot...<br /><br />The pilot had some good ideas and good themes. I liked the introduction. The show's opening credits were interesting, with the progress of exploration and a fitting theme song. Scott Bakula is excellent in the role of captain.<br /><br />Where it fell short for me was largely that the story lacked the ""feel"" of setting out on a grand adventure. The plot of the episode itself was more a ""generic"" Trek story with the themes of ""exploration"" and ""first step towards space"" merely subplot and subtext. Were you to edit out the references to this being the first deep space mission, the plot would be hard to differentiate between the eras of Enterprise, TOS or TNG. The central plot didn't reflect or do justice to the grand theme of the series.<br /><br /> The plot of launching the first mission would have been grand enough without the ""action"". Instead of isolated references to the newness of exploration, they could have been the story. Get a little more nostalgic and philosophical about it (oh, for a TV show that once again would make us THINK). Make us feel the excitement of ""the wind"" and being on ""the sea"" instead of distracting us with a rescue and a plethora of gunplay. There was WAY too much gunplay.<br /><br />We had the feeling more that humans were the ""freshmen"" in an established school. New kids on the block, as opposed to venturing into a largely unknown universe. Sadly, the Klingons landed on our doorstep instead of us finding them. That meeting could have been far more historic and far more sociological. Just how DO two such different societies interact? Don't just hint about it, SHOW it!<br /><br />I had to think of it more as `Trek with an akward crew and limited technology' as opposed to `the first brave steps into the unknown'. I wanted to see something newer and fresher. The series promises to have a new concept but so far I haven't seen this new, great concept.<br /><br />I will conclude with reiterating the sentiment that the series has potential. There are some interesting characters. Bakula is wonderful. Blalock has potential. The overall theme is the most interesting since we first saw Kirk in a world before Apollo 11. If only future episodes can do justice to this grand and wonderful theme, we will have a show which will create new legends.<br /><br />You shoot an arrow into the air... Good luck Capt. Archer.<br /><br />To the producers: TAKE MORE RISKS AND MAKE US *THINK*! :-)",0,219
4,"The form of the film is that of a suspense shocker. There are surprises, twists and turns, reverses and excitements. At times, this is truly an ""edge-of-the-seat"" film. But it disappoints, and disappoints severely.<br /><br />The villain of the piece is not believeable; his character does not hold together. I refuse to ""spoil"" the film, but will only say that the character we meet at the beginning just could not be he whom we see at the end.<br /><br />The second major disappointment of the film is that--finally, it becomes little more that a bloody slasher film. There is little qualitative difference between this and one of the ""Friday the 13th"" films. Not that every film need always be totally tasteful, but this film does drip gore on occasion.<br /><br />Though the film features the magnificent Sean Connery, even he does not measure up to his usual standard, and often just seems to be walking through the paces.",0,284
5,"Film version of Sandra Bernhard's one-woman off-Broadway show is gaspingly pretentious. Sandra spoofs lounge acts and superstars, but her sense of irony is only fitfully interesting, and fitfully funny. Her fans will say she's scathingly honest, and that may be true. But she's also shrill, with an unapologetic, in-your-face bravado that isn't well-suited to a film in this genre. She doesn't want to make nice--and she's certainly not out to make friends--and that's always going to rub a lot of people the wrong way. But even if you meet her halfway, her material here is seriously lacking. Filmmaker Nicolas Roeg served as executive producer and, though not directed by him, the film does have his chilly, detached signature style all over it. Bernhard co-wrote the show with director John Boskovich; their oddest touch was in having all of Sandra's in-house audiences looking completely bored--a feeling many real viewers will most likely share. *1/2 from ****",0,349
6,"It figures this is a French film, LOL, with the emphasis on young girls with much older men...why is it the French are so fixated on this kind of thing? When the age difference is this great, it really comes off as pervy! Valentina Cervi is beautiful (she bears a strong resemblance to Olivia Hussey, of Zeffirelli's '68 Romeo and Juliet, set in a similar period), but she looks about 15 and the actor playing Tassi, her painting instructor, looks...well, 50 is KIND.<br /><br />Other posters have done the work of explaining the historical record (unusually detailed in this case) of the real Artemisia, a great artist and one of the earliest recognized female painters of this period (17th century). Her story speaks to us in modern times particularly because of the age-old accusation that ""all great artists were men"" -- she pretty much blasts that assertion to bits -- and because the story of her rape trial is so poignant. Not only was she clearly assaulted, and forced into a degrading sexual relationship (because in those days marriage to your assaulter was the only way to avoid social shame), but Tassi was a serial rapist and possibly killed his wife and child.<br /><br />The movie does a terrible disservice by inverting this truly fascinating and remarkable real life story -- very dramatic and not in need of any ""spicing up"" -- because in some weird Frencified way, it's ""hotter"" to have an oversexed teenager drawing male sexual organs and having a hot love affair with a man old enough to be her grandfather. That's ""sexy"" -- the truth is boring and seems too feminist/politically correct.<br /><br />It also disturbs me that this is ONLY part of Artemisia life considered interesting enough to film. The fact that she painted for decades (her famous painting of Judith beheading Holfernes was painted AFTER, not before the rape), that she was the first woman admitted to the prestigious Florentine Academy, that she went on to have children...oh that's boring stuff. After all, that's about a middle aged woman and they aren't ""hot"" like teenagers.<br /><br />I understand that there is a lot of creative license in making a film (or a book) about a real historical character. You need to create dialog, have subplots, create dramatic structure. Certainly some details can be sacrificed -- it's no big deal if the dates are moved a few years, or if Artemisia is played by a blonde actress (when we know from her self portraits that she was a brunette...and a big boned one, not a skinny minny), or something like that. But to turn her story around on her, and make rape into a romance is actually sick and disturbing. It's even worse because the director is female. She should be horribly ashamed of herself!<br /><br />If you LIKE this (and I know some people could care less about the real woman artist and just like period costumes and hot sex), you will probably like ""Dangerous Beauty"" with Rufus Sewell and Catherine McCormack. Similarly based on heavily re-written history, with lots of heaving bosoms and jewel encrusted goblets: Bon Appetit!",0,414
7,"I get to the cinema every week or so, and regularly check out this site, but never before have I felt compelled to comment on a film.<br /><br />To my all time list of shockingly bad films - Last Man Standing, Spawn, The Bone Collector - I can now add the drivel that was 'Hollow Man'.<br /><br />From the awful opening titles - a ridiculously over-long run through of cast and crew put together with alphabetti spaghetti - through to the insulting finale - a world record number of cliches and some of the most absurd dialogue and acting to have ever made it to cinema - this film is dismal, and only the impressive computer graphics keep you from walking out long before the end.<br /><br />This isn't just my opinion - it was that of my friends, and everyone around us. When large sections of an audience are laughing and groaning during and after a serious thriller, its clear that the film is hopeless.<br /><br />Not only that, it was sick too. The director took the action beyond the bounds of realistic fare for a violent film, and into the realms of an over the top blood soaked B-movie. It's difficult not to imagine the director as some sort of dirty old man, because the extent of the invisible man's forays out of the lab and into the outside world extended only to two attempts at having a feel of some breasts. Perhaps sex could well be the first thing on a bloke's mind if made invisible, but aside from the aesthetic pleasures of the ladies involved, it hardly makes entertaining cinema.<br /><br />[spoilers follow]<br /><br />Get past the films sick exterior, and things are even worse. Whilst Kevin Bacon does a good job of acting increasingly twisted as 'hollow man', the rest of them - perhaps handicapped by a dire script - do an even better job of being hollow cast. One long time member of the team is found strangled in a locker by the invisible man, ""He's finally snapped"" shrugs one colleague without a hint of emotion. This is par for the course, and the lab team swing between sheer terror and complete indifference with such speed that you wonder how they got into acting. They pad their way through the lab corridors terrified, guns poised, but then seconds later one of the crew skips happily off back down the corridor to get blood for a hurt colleague. The lead female treats the invisible man with courtesy and good humour even after he's insulted and abused her, and there seems to be little reaction to his breakouts, even after he drowns the Pentagon chief, ""He drowned in his pool last night"" reports the same female, spectacularly failing to put two and two together.<br /><br />The script is littered with this kind of badly acted pedestrian dialogue, and the rest is just an A-Z of film cliches, which get laid on thicker and faster as the film progresses to the point of complete disbelief and amusement at the end.<br /><br />The 'eureka' moment at the computer, the female undressing at the window, the looped security video - the list really is endless - the predictable disregard for strength in numbers, the decision not to kill the two main stars but just put them in a place of probable impending death and leave them to their own devices, the almost-dead good guy appearing out of nothing to save the woman, the bomb and ubiquitous countdown timer, the fireball explosion which just burns up before reaching the heroes, the falling lift which just stops before hitting them, and more than anything else, the immortality of the bad guy.<br /><br />The invisible man is burnt to a shred with a makeshift flame-thrower, electrocuted, whacked round the head with a bar which had just sliced straight through one of the lesser actors, and then having apparently survived the explosion, fireball and total destruction of the labs, has more than enough life left to climb up through the fireball for one last pop at the films heroes - by which stage the disbelieving audience are cringing and looking at their watches.<br /><br />That this exceptionally bad film actually made it to the cinema is astounding. Even the name of the film is as hopeless as the movie itself, and not even impressive special effects come anywhere near saving this one, which should be avoided at all costs.",0,479
8,"Creep is the story of Kate (Potente), an intensely unlikeable bourgeois bitch that finds herself somehow sleeping through the noise of the last underground train, and waking up to find herself locked in the tube station. After somehow meeting workmate and would-be rapist Guy on a mystery train that runs after the lines have closed, things go awry and she finds herself pursued by what lurks beneath the city's streets. Her story is linked to that of George (Blackwood), an ex-con working in the sewer system; they meet in the final third of the film, brought together by their attempts to escape the monster that pursues them.<br /><br />The pair proceed through a set of increasingly unlikely locations; from the Tube station, they end up in the sewage works before somehow finding themselves in some sort of abandoned underground surgery. Most Tube stations don't have toilets, so how one has a surgery is beyond me. Naturally, the film cares to explain that the surgery doesn't have running water. Yet it has electricity? Just one of many inconsistencies that work against the atmosphere of everyday believability that the film tries to create.<br /><br />The monster itself is a problem. There's a complete lack of reasoning for its actions, it just kills people for no obvious reason. And then of course it keeps some alive for no real reason either, perhaps just so that they can eventually escape and give the film an extra 15 minutes or so running time. I understand that natural evil is supposed to be scary, but then the film attempts to explain itself via a photo of a doctor and his son, and a few shots of some jars containing babies, and yes, it is just as tired and pathetic as it sounds. It also fails to explain how the creature has been underground long enough to lose the ability to speak, communicating only in raptor screams, but not long enough for its pair of shorts to decay. Hmm.<br /><br />This doctor business leads to scene that is the film's desperate attempt to implant itself on your memory, and while it is gory and uncomfortable to watch, it just isn't enough. The final third of the film hinges on an emotional relationship that never existed, and the characters break down and recover for little or no obvious reason. George breaks down, unable to cope with something despite stating that he wants to escape so he can see his daughter again, and Kate becomes emotionally tough seconds after going to pieces over someone that ripped her off for a travelcard. Yeah.<br /><br />After starting out as a ""this could happen to anyone"" movie, it quickly falls apart as it introduces ideas that make it more and more unrealistic. A complete lack of emotional interest in the characters and an absence of suspense make this one to avoid.",0,544
9,"well well One cant b wasting time just cause of a big star-cast ..i think all i could see is a bunch of talents wasting their time on a big screen with some pathetic humor which will appeal to i do not know who? some pathetic songs that will be heard by who? some pathetically abrupt turnings justified by who? race against time? u mean waste against time? OK so first you spoil your kid,then you teach him a lesson wow we are so ignorant of this fact whoever said its a brilliant new concept probably is some other species other than human alright fine let me come comment like humans do movie has a nice message to be given but it could well have been given by a stranger sitting besides you in the bus rather than you going for such a wasteful movie to learn it Hindi movies have proved it a lot already and also i cant waste my time writing about waste anyway!",0,609
10,"This movie was crap with a capital ""C."" The opening scene showed promise. But that ""promise"" was broken shortly after the viewer learns where the plot is going.<br /><br />And the wooden statue, Morty, who was rather creepy in the original film, looks plain goofy in this one. It was so obviously just a guy in a cheap plastic costume. (And by the way, who else thinks ""Morty"" is one of the most un-scary names on planet earth? It ranks right up there with ""Jimmy"" or ""Fred"" when it comes to horror value. Or why not just name the wooden statute Henry-freakin'-Kissinger. ""Run, it's Dr. Kissinger!"" That'd be about as scary as ""Morty.)<br /><br />And then there's a scene where the ""hero"" hits his father's tombstone with---""a sledgehammer?"" you might guess--""a two-by-four?"" someone might venture. No, he angrily beats his father's tombstone with a twig---a freakin' twig. But worse than that, once the characters walk away, the tombstone actually, and inexplicably, bleeds. Oh brother!<br /><br />There's also a Native American guy who lives with the main character's grandparents, but apparently, does nothing except Morty-maintenance. He perpetuates creepy Morty-legends, warns those who scoff, and even fixes Morty's arm when it becomes damaged during a childish prank. But for all his respect for and tenderness toward Morty, does Morty give a rat's hairy behind? No.<br /><br />The movie drags on, and eventually several people die in ways that correspond to their worst fears (sort of). This film is a real yawner. Don't rent it.",0,674
11,"I am the guy who usually keeps opinions to himself, but I just got back from this movie, and felt I had to express my opinions. Let me start by saying that I am a HUGE horror fan. But what makes a horror movie? I sure like to see even a tiny bit of a good script and character development. I know they often lack in horror movies, but Prom Night looked like it didn't even put forth ANY effort in that department. Next, we all love suspense. That on the edge of your seat suspense with unpredictable surprises. Yeah, Prom Night had none of that! Of course, we like a terrifying killer. Prom Night have that? Nope, it has a pretty boy with a cute lil' knife. And when all else fails...at least horror has its guilty pleasure to make it enjoyable like gore gore gore, and the occasional nude scene! Yeah, well when you have a horror movie rated PG-13 like Prom Night, they leave that stuff out too. So with all of these elements missing, I ask....does this still count as a horror movie? Nope. I'd call it more of a comedy. People in my theater were laughing more at this then they were when I saw ""Semi-Pro"" that was supposed to actually be a comedy (which also sucked, but thats another story!). I think I am just going to have to give up on new horror. All the good horror movies of the good ol' days have been remade into garbage so movie studios can make money. The people I went to see it with didn't even know this was a remake! Which made me mad! I wonder what will happen when there's no more movies to remake??? Where will horror go next???",0,739
12,"Kubrick meets King. It sounded so promising back in the spring of 1980, I remember. Then the movie came out, and the Kubrick cultists have been bickering with the King cultists ever since.<br /><br />The King cultists say Stanley Kubrick took a great horror tale and ruined it. The Kubrick cultists don't give a damn about King's story. They talk about Steadicams, tracking shots, camera angles.This is a film, they insist: It should be considered on its own. As it happens, both camps are correct. Unfortunately.<br /><br />If one views it purely as an adaptation of King's novel, ""The Shining"" is indeed a failure, a wasted opportunity, a series of botched narrative gambits. <br /><br />I used to blame that on Kubrick's screenwriter. The writer Diane Johnson (author of Le Marriage, L'Affaire, Le Divorce, etc.) has a reputation as an novelist of social manners. Maybe she was chosen for her subtle grasp of conjugal relations or family dynamics. But the little blue-collar town of Sidewinder, Colorado doesn't exist on any map in her Francophile universe. <br /><br />Kubrick the Anglophile probably found her congenial, however. He, of course, is the real auteur. And considered on its own merits, his screenplay for ""The Shining"" -- with its mishmash of abnormal psychology, rationalism, supernaturalism, and implied reincarnation -- just doesn't stand up to logical analysis.<br /><br />I'm willing to consider Kubrick's ""Shining"" on its own terms. I'm even willing to take it as something other than a conventional horror-genre movie. But it doesn't succeed as a naturalistic study of isolation, alienation, and madness either. Parsed either way, the film pretty much falls apart.<br /><br />Are the horrors of the Overlook Hotel real? Or do they exist only in the mind -- first as prescient nightmares suffered by little Danny Torrance, then as the hallucinations of his father? One notes how whenever Jack Torrance is seen talking to a ""ghost"" he is in fact looking into a mirror. One notes how the hotel's frozen topiary-hedge maze appears to symbolize Jack's stunted, convoluted psyche. Very deep stuff.<br /><br />But if indeed the Overlook's ""ghosts"" are purely manifestations of Jack Torrance's growing insanity, then who exactly lets the trapped Jack out of the hotel kitchen's dead-bolted walk- in closet, so that he can go on his climactic ax-wielding rampage?<br /><br />And can ANYONE explain, with a straight face, that black-and-white photograph (helpfully labelled ""1921"") of Nicholson as a tuxedoed party-goer that pops up out of left field and onto a hotel-ballroom wall during the film's closing seconds? Are we to seriously conclude that Jack Torrance's Bad Craziness stems from a some sort of ""past life"" experience? (And if you swallow that, since when are reincarnated people supposed to be exact physical replicas their past selves?)<br /><br />Maybe Kubrick didn't care about his storyline. Maybe only wanted to evoke a mood of horror. Whatever the case, the film tries to hedge its narrative bets -- to have it both ways, rational and supernatural. As a result, the story is a mess. This movie hasn't improved with age, and it certainly doesn't improve with repeated viewings.<br /><br />I don't deny that a few moments of fear, claustrophobia, and general creepiness are scattered throughout this long, long film. But those gushing Elevators o' Blood, seen repeatedly in little Danny's visions, are absurd and laughable. And Jack Torrance's infamous tag lines (""Wendy, I'm home!"" and ""Heeeeeere's JOHNNY!"") merely puncture the movie's dramatic tension and dissipate its narrative energy. (I know: I sat in the theater and heard the audience laugh in comic relief: ""Whew! Glad we don't have to take this stuff seriously!"") Finally, Kubrick is completely at sea -- or else utterly cynical -- during those scenes in which Wendy wanders around the empty hotel while her husband tries to puree their son. A foyer full of mummified guests, all sitting there dead in their party hats? Yikes, now I really am afraid.<br /><br />Given Jack Nicholson's brilliance over the years, one can only assume that he gave just the sort of eyeball-rolling, eyebrow-wiggling, scenery-chomping performance that the director wanted. The performance of Shelley Duvall, as a sort of female version of Don Knotts in ""The Ghost and Mr. Chicken,"" is best passed over in silence.<br /><br />This movie simply doesn't succeed -- not as an adaptation, not on its own terms. It probably merits a 3 out of 10, but I'm giving it a 1 because it has been so GROTESQUELY over-rated in this forum.",0,804
13,"When you see Boris Karloff and Bela Lugosi as co-stars, you expect to find a well done horror movie, but this was actually quite different, representing as it did what I would describe as an early effort at science fiction. Karloff and Lugosi both play scientists (Rukh and Benet respectively) - competitors to an extent, until Rukh wins Benet over with a demonstration that proves his great theory. The science here was - to say the least - a bit rough around the edges (thus science fiction, with the emphasis on the fiction) but somehow Rukh harnesses some sort of ray from Andromeda that allows him to look at the earth ""several thousand million years ago."" In that pre historic time, a huge meteorite slammed into Africa, leaving deposits of a substance the scientists call ""Radium X"" - which can heal and destroy. A large portion of the movie is set rather tediously in Africa, on a search for the meteorite deposits, which Rukh eventually finds and harnesses to create a great weapon, unfortunately infecting himself with some sort of disease that makes him a great weapon as well.<br /><br />Karloff and Lugosi were both pretty good here. Lugosi pulls off a role in which he's the good guy pretty well, although I frankly found him a bit unconvincing - especially during the scenes set in Africa. The story also plodded along a bit, and while it held my attention it didn't captivate me. Given that this is really a sci-fi rather than a horror flick, and that sci-fi was in its very early stages, I suppose the movie needs to be cut a bit of slack. It was OK - nothing more, but also nothing less than that. 4/10",0,869
14,"This movie had a IMDB rating of 8.1 so I expected much more from it. It starts out funny and endearing with an energy that feels spontaneous. But before the movie is half-way through, it begins to drag and everything becomes sickingly predictable. The characters in the office were delightful in the first third of the movie, but we get to know them a little too well; they become caricatures, not real people at all. This is the same story I've seen hundreds of times, only told here with slightly different circumstances. The thing is, I could stomach another predictable love story if only the dialog weren't so stale!<br /><br />The only thing that could be worse is if the characters had inconsistent and unbelievable motivations, and unfortunately that was also the case with Dead Letter Office. Hopefully this movie will end up in the Dead Movie Office soon.",0,934
15,"I rented this one to see Vanesa Talor one more time. She can act, but doesn't get a chance in this clunker. The opening sequence is an elaborate crane shot of mountain landscapes. Must have come from a stock archive, because the movie is shot direct to videotape. The production values make _Blair Witch_ look professional. There's a really cheesy animated statue, but no other effects worth noting. This movie is bad, but not amusingly so. The players would do well not to mention it on their resumes.",0,999
16,"I enjoy watching western films but this movie takes the biscuit. The script and dialogue is laughable. The acting was awful, where did they get them from? Music was OK i have to say. Luckily i didn't buy or rent the movie but its now disposed of.<br /><br />I was geared up at the beginning when the stranger (martin sheen) started to tell his story. I have to admit i did enjoy the confrontation between Hopalong and Tex where Hopalong shot Tex's finger off and told him to practise for 40 years to reach his league. But thats where it all went pear shaped thereafter. I had to watch the whole film in the hope that it would get better, never did.",0,1064
17,"Someone will have to explain to me why every film that features poor people and adopts a pseudo-gritty look is somehow seen as ""realistic"" by some people.<br /><br />I didn't see anything realistic about the characters (although the actors did their best with really bad parts) or the situations. Instead, I saw a forced, self-conscious effort at being ""edgy"", ""gritty"" and ""down and dirty"".<br /><br />Sadly, it takes a lot more than hand-holding the camera without rhyme or reason and failing to light the film to achieve any of the above qualities in any significant way.<br /><br />It's a sad commentary on the state of independent film distribution that the only films that see the inside of a movie theater are nowadays all carbon copies, with bad cinematography, non-existent camera direction and a lot of swearing striving to pass themselves as ""Art"".<br /><br />It's little wonder that films like ""In the Bedroom"" or ""About Schmidt"" get such raves. I found them to be meandering and very average, but compared to the current slew of independent clones like ""Raising victor Vargas"" they are outright brilliant and inspired.<br /><br />A few years ago seeing an ""independent"" film meant that you would likely be treated to some originality and a lot of energy and care, and maybe a few technical glitches caused by the low budgets, nowadays, it means that chances are you'll get yet another by-the-numbers, let's-shake-the-camera-around-for-two-hours attempt at placating the lack of taste of independent distributors. And of course all that to serve characters and situations that are completely unreal and contrived.<br /><br />Is it any surprise that the independent marketplace has fewer and fewer surviving companies? Not at all when you see films like Raising Victor Vargas that do nothing but copy the worst of the films that preceded them.",0,1129
18,"This Tim Burton remake of the original ""Planet of the Apes"" from 1968 (and starring Charleton Heston) is a far, far cry from the quality and plot of the original.<br /><br />Certainly special effects have improved since 1968, but writing has not. The characters were boring and the dialog was awful. I sat through the entire film with a friend (who thankfully only rented it) and completely understood why, before Christmas, all of the ""Planet of the Apes"" toys at Target were in the clearance bin.<br /><br />My advice to Tim Burton: don't put this on your resume.<br /><br />My advice to everyone else: watch the original 1968 ""Planet of the Apes"" movie.",0,1194
